latitude,longitude,name 
-30.676220,152.749980,North Coast
-30.241739,155.818985,Mid North Coast
-32.193218,151.700562,Hunter Region
-33.416665,150.7833302,Hawkesbury
-33.700001,150.300003,Blue Mountains
-34.5,150.9,Illawarra
-36.499998,148.333332,Snowy Mountains
-34.91119,138.70735,Adelaide Hills 
-35.775243,137.214242,Kangaroo Island 
-43.1622541,146.1999743,Tasmania
33.5083153,-85.7872486,Talladega National Forest
39.6030447,-122.8297321, Mendocino National Forest
36.1111101,-81.8201438, Grandfather Mountain 
38.6054001,-120.4665015, Caldor
34.3168052,-118.0079471, Angeles National Forest
47.283719,-113.0892777, Flathead National Forest
-3.4653052,-62.2246353, Amazon Forest
-1.8286872,-64.5377078, Amazon Forest
-2.7123835,-72.3267565, Amazon Forest
-7.4071854,-52.2063277, Brazil Forest
-7.4015584,-54.3811576,Pantanal
-15.2319444,-67.6526537, Bolivia
-15.0092192,-64.8401539, Brazil